model,site,nb_deg,nb_pm,component,ttf,ctf
M7,S,0,1,C01,18498660.0,41629
M7,S,0,0,C01,1405360.0,6055
M4,S,0,1,C01,28426140.0,62261
M4,E,0,0,C01,18161160.0,30408
M4,S,0,1,C01,9578450.0,21813
M3,S,1,1,C01,4114834.0,13938
M7,E,0,1,C01,13055220.0,49653
M7,E,0,2,C02,77407976.0,218946
M4,S,0,1,C01,15378420.0,49398
M3,E,0,0,C01,2335741.0,6122
M2,S,0,0,C01,3624720.0,5506
M2,H,0,2,C01,24524640.0,54434
M4,E,26,1,C01,13045740.0,38357
M4,E,0,0,C01,17794800.0,45558
M4,E,0,1,C01,1886880.0,6169
M3,E,0,1,C01,4997050.0,12127
M4,S,0,0,C01,6244260.0,22708
M4,E,0,0,C01,10262100.0,18955
M1,S,0,0,C01,12637140.0,15825
M3,H,1,1,C01,5964039.0,8700
M4,E,0,0,C01,7761848.0,22833
M2,E,0,0,C02,18595440.0,41067
M4,E,0,1,C01,14924340.0,39653
M2,E,0,0,C01,3459461.0,6600
M3,E,0,0,C01,2839740.0,5236
M2,S,0,0,C01,20125560.0,27804
M4,E,0,1,C02,21837480.0,62141
M4,I,0,1,C01,3262800.0,6026
M1,E,0,0,C01,3120000.0,14051
M7,E,0,0,C01,16824967.0,59360
M4,S,1,1,C01,23500120.0,67236
M2,E,0,1,C01,7166820.0,8594
M7,S,0,0,C01,19688276.0,51407
M3,S,0,1,C01,9333240.0,8644
M3,E,0,1,C01,37832220.0,69485
M4,E,0,0,C01,9672720.0,30840
M4,E,0,0,C01,8355120.0,24698
M2,I,0,1,C01,11909040.0,54782
M2,I,0,1,C01,46502700.0,36170
M7,E,0,1,C02,38684294.0,168380
M2,S,0,0,C01,15467460.0,18013
M7,E,0,0,C01,1534200.0,8008
M3,I,0,0,C01,10366140.0,10946
M3,E,0,0,C01,20394225.0,71764
M3,E,0,1,C01,26950616.0,77980
M4,S,0,0,C01,17862180.0,63242
M7,E,2,0,C01,4995420.0,17923
M4,E,0,0,C01,21771846.0,23732
M4,E,0,0,C02,5691004.0,8984
M4,I,0,0,C01,7837140.0,23220
M7,E,0,2,C01,35416136.0,102844
M4,I,0,0,C01,31911120.0,77589
M3,S,0,1,C02,21935040.0,44949
M3,I,0,1,C01,13900886.0,16359
M2,E,0,0,C01,3899160.0,10962
M2,E,0,0,C01,11650260.0,43593
M3,E,0,1,C02,53556360.0,129792
M7,H,0,2,C02,74985660.0,91300
M7,E,0,0,C01,5290380.0,12614
M3,S,0,0,C01,4229400.0,12724
M7,E,0,0,C01,2505180.0,5987
M4,S,0,0,C01,40256940.0,87711
M2,E,0,0,C01,4639367.0,25930
M2,S,0,0,C01,3630060.0,13831
M4,S,0,0,C01,4211220.0,7438
M7,E,0,0,C01,9739004.0,28597
M4,E,0,0,C01,9671640.0,38916
M2,S,0,0,C02,5284440.0,12529
M4,E,3,0,C01,11996191.0,11290
M7,E,0,0,C02,16243176.0,22535
M3,E,0,1,C02,12507180.0,41335
M4,S,0,0,C02,23299140.0,93424
M4,I,0,0,C01,24421860.0,53843
M3,S,0,0,C02,1665180.0,5522
M4,S,0,0,C02,14852220.0,58746
M7,E,0,0,C01,7185720.0,14075
M4,S,0,1,C01,27386700.0,58346
M2,S,0,1,C02,18129840.0,42410
M7,S,0,0,C01,23330077.0,54793
M4,E,0,1,C01,7870800.0,13865
M4,S,0,0,C01,8982852.0,51509
M4,S,0,0,C01,2583630.0,5589
M3,S,0,2,C01,34811460.0,118683
M2,E,0,0,C01,5356330.0,12904
M3,E,0,0,C01,14146260.0,20001
M4,E,0,1,C01,29558820.0,83556
M2,S,0,0,C01,8299200.0,21381
M1,S,0,1,C01,26328600.0,101134
M2,E,0,0,C01,1625190.0,5279
M7,I,0,1,C01,8413836.0,15436
M3,I,0,0,C01,6388531.0,14144
M7,S,0,1,C01,8299439.0,17395
M3,S,0,1,C01,75062617.0,149513
M7,E,0,0,C01,18311040.0,52165
M3,E,0,0,C01,7941066.0,29653
M4,S,0,0,C01,48561900.0,114063
M4,S,0,1,C01,27739525.0,76475
M4,E,0,0,C01,8918880.0,20001
M3,S,0,1,C01,8918306.0,28584
M3,S,0,0,C01,20542620.0,59698
M3,S,0,1,C01,20667498.0,28126
M4,E,0,0,C02,6067140.0,14308
M3,E,0,1,C01,24369840.0,42226
M2,E,0,1,C01,8818860.0,18001
M3,E,0,1,C02,15985856.0,52071
M4,I,0,0,C01,3261060.0,7809
M7,S,0,1,C01,9408398.0,13786
M3,I,0,0,C02,34019220.0,74763
M3,I,0,0,C01,15986820.0,51941
M4,E,0,0,C01,2840796.0,13758
M4,E,0,1,C02,51308520.0,122165
M4,S,5,1,C01,4667538.0,12922
M4,E,7,1,C01,21753960.0,34626
M2,S,0,0,C01,7082400.0,6339
M4,E,0,1,C01,23156794.0,109911
M3,E,0,0,C01,21602825.0,77063
M3,S,0,0,C01,28759635.0,89496
M3,E,0,0,C01,18126587.0,43225
M3,E,0,0,C01,9868421.0,23074
M3,E,0,1,C01,19163040.0,41465
M4,E,0,0,C01,10617985.0,15810
M4,E,0,0,C01,6039120.0,10036
M4,E,0,0,C01,7338900.0,22488
M3,E,0,0,C01,16229820.0,36813
M4,S,9,0,C01,5959768.0,19145
M4,S,0,0,C01,9507180.0,23607
M1,S,0,0,C01,8190582.0,20024
M4,S,0,0,C01,10264740.0,46080
M3,S,0,0,C01,15125580.0,25190
M3,I,0,2,C01,70054020.0,94544
M3,S,0,1,C01,43617060.0,130769
M7,S,0,0,C01,21857700.0,31232
M4,S,0,0,C01,18038520.0,47284
M3,S,0,1,C01,11842140.0,26368
M3,S,0,0,C01,17349393.0,32461
M4,E,0,3,C02,58062540.0,158266
M4,I,0,0,C01,23830920.0,46294
M4,E,0,0,C01,7967460.0,10049
M4,S,0,1,C01,12423240.0,42799
M4,S,0,0,C01,7242678.0,19108
M4,E,0,1,C02,28973833.0,140999
M3,S,0,0,C01,25486200.0,45955
